#name	ftp_path	organism	assembly_level
M_tub_PanR0409	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/505/GCF_000443505.1_fedora0409_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0410	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/465/GCF_000443465.1_fedora0410_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0411	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/485/GCF_000443485.1_fedora0411_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0412	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/443/445/GCF_000443445.1_fedora0412_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0501	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/245/GCF_000445245.1_fedora0501_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0503	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/265/GCF_000445265.1_fedora0503_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0505	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/285/GCF_000445285.1_fedora0505_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0601	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/305/GCF_000445305.1_fedora0601c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0602	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/325/GCF_000445325.1_fedora0602_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0603	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/345/GCF_000445345.1_fedora0603_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0604	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/365/GCF_000445365.1_fedora0604_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0605	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/515/GCF_000445515.1_fedora0605_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0606	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/535/GCF_000445535.1_fedora0606c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0607	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/555/GCF_000445555.1_fedora0607c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0609	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/575/GCF_000445575.1_fedora0609c_IS	Mycobacterium tuberculosis	Chromosome
M_tub_PanR0610	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/445/595/GCF_000445595.1_fedora0610c_IS	Mycobacterium tuberculosis	Chromosome
